2	St. Nicolaaslyceum	1
3	Het Amsterdams Lyceum	0
4	Het Cartesius Lyceum	2
5	Chr. Sch. Gem. Buitenveldert	0
6	Bern. Nieuwetijt Coll. (Damstede)	0
7	Joke Smit College (ROC)	0
9	Vrije Universiteit	3
10	Hermann Wesselink College	0
13	Hervormd Lyceum West	3
21	Vechtstede College	3
22	St. Ignatius Gymnasium	3
23	Fons Vitae Lyceum	1
24	Cygnus Gymnasium	2
25	Fons Vitae Lyceum 2	1
101	St. Michael College	0
102	Zaanlands Lyceum 1	3
103	Saenredam College	0
104	Zaanlands Lyceum 3	2
105	Zaanlands Lyceum 4	2
201	Coornhert Lyceum	0
202	Kaj Munk College	3
203	College Hageveld	3
301	Jac. P. Thijsse College	3
303	Kennemer College	0
304	Bonhoeffer College	3
305	Gemeentehuis Castricum	0
401	Willem Blaeu OSG	3
501	Nikhef	3
502	Universiteit van Amsterdam	3
503	Vancis	3
504	SURFsara (Matrix)	3
505	ARCNL (PiMu)	3
506	Telecity	3
507	Nikhef (receptie)	3
508	Nikhef (MT)	3
509	Universiteit van Amsterdam 2	2
510	Nikhef 2	3
511	AMOLF	3
521	Nikhef (501-alt)	1
522	Nikhef 2 (510-alt)	1
601	Werenfridus	3
1001	Universiteit Utrecht	2
1002	Christelijk Gymnasium Utrecht	1
1003	Museum Sterrenwacht Sonnenborgh	0
1005	Utrecht University Educatorium	0
1006	University College Utrecht 1	3
1007	University College Utrecht 2	3
1008	Stedelijk Gymnasium Utrecht	3
1009	FOM Bureau	2
1010	Ornstein Laboratory	0
1101	Comenius College	2
1102	Gemeentelijk Gymnasium Hilversum	3
2001	Radboud Universiteit 1	0
2002	Nijmeegse Scholengemeenschap Groenewoud	0
2003	Stedelijk Gymnasium Nijmegen	0
2004	Dominicus College	3
2005	Kandinsky College	0
2006	Radboud Universiteit 2	0
2008	Stedelijke Scholengemeenschap	3
2010	Pax Christi College	2
2101	Raaijland College	0
2102	Raaijland College (Gilde)	2
2103	Raaijland College (Melkfabriek)	0
2201	RSG-Slingerbos	0
3001	Universiteit Leiden	0
3002	Da Vinci College	0
3101	Walburg College	1
3102	Walburg College (Hendrik Ido Ambacht)	1
3103	Walburg College (Lindelaan)	1
3104	Dalton Lyceum	0
3105	CSG Willem van Oranje	0
3201	CSG Prins Maurits	0
3202	RSG Middelharnis	3
3203	RSG Gemeentehuis	0
3301	Scala College	0
3302	Het Groene Hart Lyceum	3
3303	Ashram College	3
3401	Sted. Scholengem. De Rede 	3
3501	De Haagse Hogeschool (Delft)	3
3601	Sint Maartens College	0
3701	Segbroek College	0
4001	KVI	0
4002	Maartens College	0
4003	Praedinius Gymnasium	0
4004	Wessel Gansfort College	2
7001	Universiteit Twente 1	0
7002	Universiteit Twente 2	0
7003	Universiteit Twente 3	3
7101	Bataafs Lyceum	1
7201	CSG Het Noordik	3
7301	Etty Hillesum Lyceum	0
7401	Assink Lyceum	3
7501	De Waerdenborch	0
8001	Universiteit Eindhoven 1	3
8002	Pleincollege Bisschop Bekkers	2
8003	Sint-Joriscollege	3
8004	Universiteit Eindhoven 2	0
8005	Pius X College Bladel	0
8006	Stedelijk College Eindhoven	3
8007	Strabrecht College Geldrop	1
8008	Universiteit Eindhoven 3	0
8009	Universiteit Eindhoven 4	3
8101	Koning Willem II College	0
8102	St. Odulphuslyceum Tilburg	1
8103	Theresia Lyceum Tilburg	3
8104	Mgr. Frencken College	0
8105	Mill Hill College	0
8201	Bouwens van der Boije College	2
8301	Philips van Horne 1	0
8302	Philips van Horne 2	0
8303	Philips van Horne 3	0
13001	Bristol University	0
13002	Red Maids	0
13003	Bristol Grammar School	3
13004	Clifton High School	2
13005	Filton College	2
13006	Hanham Woods Academy	0
13007	BernardLovell	0
13008	Bristol Cathedral Choir School	0
13101	Beechen Cliff School	0
13102	Royal High School	0
13103	RalphAllen	2
13104	BathUni	2
13201	New College	3
13301	Sheldon School	0
13401	Okehampton	0
13501	Torquay Girls Grammar School	0
13601	Exeter Mathematics School	0
14001	Birmingham University	3
14002	Bordesley Green Girls School and Sixth Form	2
14003	King Edward VI High School for Girls	2
14004	Marling	2
15001	University of Sussex	2
16001	Cardiff University	0
20001	Aarhus University 1	0
20002	Aarhus University 2	3
20003	Aarhus University 3	0
